character #1, character #2, similarity
G, t, 0.4559319556497244
t, G, 0.4559319556497244
P, t, 0.47865161692406644
t, P, 0.47865161692406644
1, t, 0.5333722768126128
t, 1, 0.5333722768126128
w, t, 0.35574859254456304
t, w, 0.35574859254456304
0, t, 0.49266213553191845
t, 0, 0.49266213553191845
Q, t, 0.40996954599682234
t, Q, 0.40996954599682234
F, t, 0.38755797287831584
t, F, 0.38755797287831584
b, t, 0.599996830764189
t, b, 0.599996830764189
J, a, 0.37255827748308057
a, J, 0.37255827748308057
H, a, 0.4083264006752363
a, H, 0.4083264006752363
x, a, 0.5948500440373913
a, x, 0.5948500440373913
m, a, 0.48757814610414585
a, m, 0.48757814610414585
I, a, 0.27405666622080305
a, I, 0.27405666622080305
Z, a, 0.4788503657572084
a, Z, 0.4788503657572084
M, a, 0.47561763700798476
a, M, 0.47561763700798476
l, a, 0.2680071186090452
a, l, 0.2680071186090452
y, a, 0.3925812875149963
a, y, 0.3925812875149963
L, a, 0.31476980707830987
a, L, 0.31476980707830987
Y, a, 0.3631779024128256
a, Y, 0.3631779024128256
8, a, 0.6202848114341615
a, 8, 0.6202848114341615
N, a, 0.5783487360020058
a, N, 0.5783487360020058
u, a, 0.605702297009789
a, u, 0.605702297009789
O, a, 0.44493657134826115
a, O, 0.44493657134826115
9, a, 0.5452595251576944
a, 9, 0.5452595251576944
X, a, 0.5707286321776333
a, X, 0.5707286321776333
k, a, 0.5729247843727494
a, k, 0.5729247843727494
r, a, 0.41213812095245395
a, r, 0.41213812095245395
g, a, 0.5995957730929696
a, g, 0.5995957730929696
f, a, 0.42251919482061256
a, f, 0.42251919482061256
s, a, 0.6555912129027729
a, s, 0.6555912129027729
j, a, 0.3774385276568827
a, j, 0.3774385276568827
i, a, 0.3961139605078134
a, i, 0.3961139605078134
e, a, 0.6691691643898573
a, e, 0.6691691643898573
p, a, 0.6094003544937058
a, p, 0.6094003544937058
q, a, 0.593614675863604
a, q, 0.593614675863604
d, a, 0.6548732977568082
a, d, 0.6548732977568082
h, a, 0.556031755656918
a, h, 0.556031755656918
U, a, 0.4590594580695455
a, U, 0.4590594580695455
4, a, 0.6336825343623818
a, 4, 0.6336825343623818
c, a, 0.45560381473354417
a, c, 0.45560381473354417
B, a, 0.6281908481851203
a, B, 0.6281908481851203
v, a, 0.4449526864703211
a, v, 0.4449526864703211
C, a, 0.3705688090155656
a, C, 0.3705688090155656
5, a, 0.42755612041632046
a, 5, 0.42755612041632046
T, a, 0.3295990140498191
a, T, 0.3295990140498191
V, a, 0.43482397752036717
a, V, 0.43482397752036717
7, a, 0.4280253792818718
a, 7, 0.4280253792818718
A, a, 0.6373605905041542
a, A, 0.6373605905041542
o, a, 0.6112105061995192
a, o, 0.6112105061995192
z, a, 0.6135031426698702
a, z, 0.6135031426698702
6, a, 0.5482074988679624
a, 6, 0.5482074988679624
W, a, 0.4931316425751341
a, W, 0.4931316425751341
D, a, 0.4429669784853567
a, D, 0.4429669784853567
S, a, 0.46310124568434646
a, S, 0.46310124568434646
2, a, 0.551202405721732
a, 2, 0.551202405721732
n, a, 0.6046222080925628
a, n, 0.6046222080925628
3, a, 0.48743846583965933
a, 3, 0.48743846583965933
R, a, 0.636274091859064
a, R, 0.636274091859064
E, a, 0.3924075200720766
a, E, 0.3924075200720766
G, a, 0.4981820833014862
a, G, 0.4981820833014862
P, a, 0.6071141819920205
a, P, 0.6071141819920205
1, a, 0.44279042404892427
a, 1, 0.44279042404892427
w, a, 0.5613799784669832
a, w, 0.5613799784669832
0, a, 0.6116184400292747
a, 0, 0.6116184400292747
Q, a, 0.45766682273130704
a, Q, 0.45766682273130704
F, a, 0.35970761076710145
a, F, 0.35970761076710145
b, a, 0.6010923834670882
a, b, 0.6010923834670882
H, J, 0.2910178736631622
J, H, 0.2910178736631622
x, J, 0.28869767006753494
J, x, 0.28869767006753494
m, J, 0.34646803458693315
J, m, 0.34646803458693315
I, J, 0.6910010746647435
J, I, 0.6910010746647435
Z, J, 0.40624906015481244
J, Z, 0.40624906015481244
M, J, 0.3318976854882294
J, M, 0.3318976854882294
l, J, 0.7365330162814223
J, l, 0.7365330162814223
y, J, 0.3228346607340103
J, y, 0.3228346607340103
L, J, 0.4914578582400027
J, L, 0.4914578582400027
Y, J, 0.31113032256830697
J, Y, 0.31113032256830697
8, J, 0.4684005962093224
J, 8, 0.4684005962093224
N, J, 0.32194871392592916
J, N, 0.32194871392592916
u, J, 0.44010891295003973
J, u, 0.44010891295003973
O, J, 0.4657059644969215
J, O, 0.4657059644969215
9, J, 0.4826117764179236
J, 9, 0.4826117764179236
X, J, 0.2895392318177573
J, X, 0.2895392318177573
k, J, 0.29044685105355933
J, k, 0.29044685105355933
r, J, 0.3289385990914487
J, r, 0.3289385990914487
g, J, 0.3529547935271899
J, g, 0.3529547935271899
f, J, 0.31097299456097377
J, f, 0.31097299456097377
s, J, 0.3188938254405856
J, s, 0.3188938254405856
j, J, 0.6939023332780061
J, j, 0.6939023332780061
i, J, 0.5472380911397823
J, i, 0.5472380911397823
e, J, 0.29811199264676874
J, e, 0.29811199264676874
p, J, 0.36356717977717207
J, p, 0.36356717977717207
q, J, 0.3921570406434998
J, q, 0.3921570406434998
d, J, 0.4970564336159122
J, d, 0.4970564336159122
h, J, 0.34175504889686986
J, h, 0.34175504889686986
U, J, 0.5300823981335006
J, U, 0.5300823981335006
4, J, 0.4056392261070506
J, 4, 0.4056392261070506
c, J, 0.22895260956687075
J, c, 0.22895260956687075
B, J, 0.5451008497880435
J, B, 0.5451008497880435
v, J, 0.28214465150360746
J, v, 0.28214465150360746
C, J, 0.3240661632070924
J, C, 0.3240661632070924
5, J, 0.5602429832420855
J, 5, 0.5602429832420855
T, J, 0.6253071868180394
J, T, 0.6253071868180394
V, J, 0.34604114735408453
J, V, 0.34604114735408453
7, J, 0.4945171014016957
J, 7, 0.4945171014016957
A, J, 0.3275280851117026
J, A, 0.3275280851117026
o, J, 0.28657893846478555
J, o, 0.28657893846478555
z, J, 0.27443222717018634
J, z, 0.27443222717018634
6, J, 0.39003800164237756
J, 6, 0.39003800164237756
W, J, 0.3483812292312137
J, W, 0.3483812292312137
D, J, 0.47559243173111637
J, D, 0.47559243173111637
S, J, 0.4305994865390759
J, S, 0.4305994865390759
